Subject	Module	Type	Total	Users	Views	Contributions
Additional Support	Assignment	Assessment	0	0	0	0
Additional Support	Blog	Communication	0	0	0	0
Additional Support	Book	Resource	0	0	0	0
Additional Support	Chat	Communciation	0	0	0	0
Additional Support	Choice	Assessment	0	0	0	0
Additional Support	Data	Collaboration	0	0	0	0
Additional Support	Feedback	Assessment	14	14	6	1
Additional Support	Folder	Resource	0	0	0	0
Additional Support	Forum	Communication	0	0	0	0
Additional Support	Glossary	Collaboration	0	0	0	0
Additional Support	Imscp	Resource	0	0	0	0
Additional Support	Label	Resource	0	0	0	0
Additional Support	Lesson	Assessment	0	0	0	0
Additional Support	Lightboxgallery	Resource	0	0	0	0
Additional Support	Message	Communication	0	0	0	0
Additional Support	Nln	Resource	0	0	0	0
Additional Support	Page	Resource	0	0	0	0
Additional Support	Quiz	Assessment	0	0	0	0
Additional Support	Resource	Resource	0	0	0	0
Additional Support	Scorm	Resource	0	0	0	0
Additional Support	Url	Resource	0	0	0	0
Additional Support	Wiki	Collaboration	0	0	0	0
Department for Foundation Studies	Assignment	Assessment	296	296	155	19
Department for Foundation Studies	Blog	Communication	39	39	37	2
Department for Foundation Studies	Book	Resource	1	1	0	0
Department for Foundation Studies	Chat	Communciation	92	92	49	6
Department for Foundation Studies	Choice	Assessment	1	1	1	0
Department for Foundation Studies	Data	Collaboration	0	0	0	0
Department for Foundation Studies	Feedback	Assessment	144	144	35	10
Department for Foundation Studies	Folder	Resource	999	999	788	0
Department for Foundation Studies	Forum	Communication	2308	2308	1960	211
Department for Foundation Studies	Glossary	Collaboration	1142	1142	898	228
Department for Foundation Studies	Imscp	Resource	713	713	706	0
Department for Foundation Studies	Label	Resource	498	498	0	0
Department for Foundation Studies	Lesson	Assessment	67	67	36	28
Department for Foundation Studies	Lightboxgallery	Resource	362	362	348	0
Department for Foundation Studies	Message	Communication	0	0	0	0
Department for Foundation Studies	Nln	Resource	0	0	0	0
Department for Foundation Studies	Page	Resource	929	929	882	0
Department for Foundation Studies	Quiz	Assessment	5222	5222	885	3628
Department for Foundation Studies	Resource	Resource	8338	8338	7564	0
Department for Foundation Studies	Scorm	Resource	1031	1031	787	65
Department for Foundation Studies	Url	Resource	2092	2092	1925	0
Department for Foundation Studies	Wiki	Collaboration	81	81	55	7
The Skills People	Assignment	Assessment	5368	5368	2873	453
The Skills People	Blog	Communication	20	20	20	0
The Skills People	Book	Resource	2	2	0	0
The Skills People	Chat	Communciation	8	8	7	0
The Skills People	Choice	Assessment	61	61	41	3
The Skills People	Data	Collaboration	0	0	0	0
The Skills People	Feedback	Assessment	86	86	32	5
The Skills People	Folder	Resource	1953	1953	1837	0
The Skills People	Forum	Communication	1127	1127	990	58
The Skills People	Glossary	Collaboration	988	988	641	77
